id,name,artist,dance,energy,loud,mode,speech,acoustic,instrument,live,valence,tempo
6OjHVvTLiSgdQkV6qvAd0h ,Acabou Chorare                                                                                                                                                                   ,Sílvia Pérez Cruz                               ,0.59,0.148,-13.962,1,0.0543,0.974,0.0134,0.109,0.292,100.663
4hWkFHdXxp85FKyQuZryiZ ,Ui! (Voce Inventa)                                                                                                                                                               ,Tom Zé                                          ,0.747,0.15,-17.645,1,0.112,0.588,6.19e-05,0.12,0.817,84.132
0PIZDOonVDpNlEkjmtuVFb ,"Augusta, Angélica e Consolação                                                                                                                                                 ",Tom Zé                                          ,0.656,0.375,-10.531,1,0.0631,0.699,3.62e-06,0.155,0.83,137.981
6QTIxxuNsTYLHQ4nf1lmDJ ,Todos os olhos                                                                                                                                                                   ,Tom Zé                                          ,0.816,0.416,-8.26,1,0.0572,0.663,7.07e-05,0.0954,0.933,124.823
5OjDD3tZErNCn5QqqpJmKf ,Vai (Menina amanhã de manhã)                                                                                                                                                     ,Tom Zé                                          ,0.671,0.63,-10.367,1,0.237,0.885,0.0,0.132,0.794,127.645
2MScXeRUExfFsGudzTckV9 ,Desde Que o Samba é Samba                                                                                                                                                        ,Gilberto Gil                                    ,0.789,0.268,-15.776,0,0.048,0.822,0.177,0.111,0.683,125.185
4UU7oEsj9qJuKD3exXHPlb ,Insensatez: A Mulher Que Fez                                                                                                                                                     ,Graveola                                        ,0.789,0.486,-11.171,1,0.0538,0.32,0.0,0.108,0.947,92.579
4Z230VwFWGMTJs6CrTwYky ,Ponto De Marinheiro / Marinheiro Só                                                                                                                                              ,Zé Maurício Machline                            ,0.775,0.509,-11.966,1,0.125,0.559,0.0,0.332,0.831,97.05
4mvb2QrG9ea14U9BQ8U9Q0 ,Tanto Mar                                                                                                                                                                        ,Chico Buarque                                   ,0.427,0.504,-8.1,1,0.0603,0.645,2.68e-05,0.178,0.885,180.328
4e8CIzAEnAVVVS1tNCMmEp ,Diz Que Eu Fui Por Aí                                                                                                                                                            ,Eva Fernández                                   ,0.689,0.448,-9.83,0,0.0722,0.866,0.0033,0.0963,0.498,89.225
5SK175I291bHHcroTHUwQn ,Argumento                                                                                                                                                                        ,Paulinho Da Viola                               ,0.731,0.762,-6.768,1,0.0549,0.807,0.0,0.127,0.926,113.939
5cEHUIuDkbTtFW5eoTp4bI ,Chuck Berry Fields Forever                                                                                                                                                       ,Gilberto Gil                                    ,0.584,0.682,-10.141,1,0.13,0.366,0.000269,0.794,0.716,153.42
2Er0f1mhO0g1rov9Cdi5Wk ,Brasil Pandeiro                                                                                                                                                                  ,Novos Baianos                                   ,0.549,0.555,-7.144,1,0.0344,0.791,0.000311,0.117,0.876,97.724
0q1hmhVWdR04mZup6mR56u ,Preta Pretinha                                                                                                                                                                   ,Novos Baianos                                   ,0.704,0.561,-7.177,1,0.033,0.845,7.65e-06,0.108,0.773,124.861
5V0HmhGqwjoDq0cHlI05GS ,Swing de Campo Grande                                                                                                                                                            ,Novos Baianos                                   ,0.764,0.697,-7.346,0,0.0525,0.781,0.0,0.163,0.937,104.016
3hv8SDnq2ETLT5FoMY28Da ,Máquina de Ritmo - Ao Vivo                                                                                                                                                       ,Gilberto Gil                                    ,0.587,0.296,-16.507,1,0.224,0.879,0.598,0.391,0.509,172.675
2Yv8FPQ8MJgQfuMzqSITuW ,Back In Bahia (Ao Vivo)                                                                                                                                                          ,Gilberto Gil                                    ,0.667,0.457,-13.166,0,0.295,0.712,4.55e-06,0.966,0.592,144.407
2ctBnKIGC5KoWUg8reeCTL ,Sabor Colorido / Moça Bonita                                                                                                                                                     ,"Elomar, Geraldo Azevedo, Vital Farias, Xangai ",0.517,0.226,-17.795,1,0.0581,0.808,4.66e-06,0.697,0.525,78.868
0iM2mFz8ijP7Ngm5BXcRo2 ,O Namorado Da Viúva                                                                                                                                                              ,Jorge Ben Jor                                   ,0.742,0.745,-13.106,0,0.0447,0.554,0.000275,0.0549,0.971,87.988
7pdCDKs0i05N8ag4tAC5u5 ,Taj Mahal                                                                                                                                                                        ,Jorge Ben Jor                                   ,0.587,0.703,-5.789,0,0.0556,0.556,0.0,0.596,0.725,136.704
2Je7oP0aHfEy7UdEYyAuUX ,Manada                                                                                                                                                                           ,Bagunço                                         ,0.651,0.485,-11.49,0,0.04,0.116,0.697,0.0873,0.736,108.861
1DFFUsN49AUonUcTiQNnjI ,Dolcenera                                                                                                                                                                        ,Fabrizio De André                               ,0.68,0.492,-8.359,0,0.0436,0.177,5.63e-05,0.201,0.595,125.827
1WQ3JkjvHZ03hwTUPLXpqr ,Nomes de Favela                                                                                                                                                                  ,Moyseis Marques                                 ,0.753,0.516,-9.647,0,0.0662,0.372,0.0,0.0647,0.862,92.068
